Soil_sample	Site	Position	Location	Date	Day	Year	Time	Days_Since_Last_Rain	Visibility	Conditions	Temp
395	M8		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
396	M8		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
397	M8		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
398	M8		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
399	M7		MLBS	9/06/14	159	2014	9	1		Heavy Rain Last Night	
400	1		MLBS	9/06/14	159	2014	13	1		Heavy Rain Last Night	
401	1		MLBS	9/06/14	159	2014	13	1		Heavy Rain Last Night	
402	1		MLBS	9/06/14	159	2014	13	1		Heavy Rain Last Night	
403			MLBS	9/06/14	159	2014	20				
404			MLBS	11/06/14	161	2014					
405			MLBS	11/06/14	161	2014					
406			MLBS	11/06/14	161	2014					
407			MLBS	11/06/14	161	2014					
408			MLBS	11/06/14	161	2014	20				
409			MLBS	11/06/14	161	2014	20				
410			MLBS	11/06/14	161	2014	20				
411	C1		MLBS	4/10/13	276	2013	10				
412	C2		MLBS	4/10/13	276	2013	10				
413	B1		MLBS	4/10/13	276	2013					
414	B2		MLBS	4/10/13	276	2013					
415	B1		MLBS	30/05/14	149	2014		1	Clear	Dry	Warm
416	C2		MLBS	28/05/14	147	2014	11		Cloudy	Dry	Warm
417	C2		MLBS	2/06/12	153	2012	14		Overcast		
418	D1		MLBS	29/05/14	148	2014	9		Cloudy	Cool	Dry
419	B2		MLBS	30/05/14	149	2014			Clear	Dry	Warm
420	B3		MLBS	30/05/14	149	2014		1	Clear	Dry	Warm
421	C1		MLBS	30/05/14	149	2014		1	Clear	Dry	Warm
422	A1		MLBS	9/06/14	159	2014	9	1			
423	A2		MLBS	9/06/14	159	2014	9	1			
424	M1		MLBS	10/01/14	9	2014	11	1			
425	A5		MLBS	1/10/14	273	2014	11	1			
426	A5		MLBS	1/10/14	273	2014	11	1			
427	A5		MLBS	1/10/14	273	2014	11	1			
428	A5		MLBS	1/10/14	273	2014	11	1			
429	A5		MLBS	1/10/14	273	2014	11	1			
430	A3		MLBS	1/10/14	273	2014	11	1			
431	A3		MLBS	1/10/14	273	2014	11	1			
432	A3		MLBS	1/10/14	273	2014	11	1			
433	A3		MLBS	1/10/14	273	2014	11	1			
434	A3		MLBS	1/10/14	273	2014	11	1			
435	A4		MLBS	1/10/14	273	2014	11	1			
436	A4		MLBS	1/10/14	273	2014	11	1			
437	A4		MLBS	1/10/14	273	2014	11	1			
438	A4		MLBS	1/10/14	273	2014	11	1			
439	A4		MLBS	1/10/14	273	2014	11	1			
440	A6		MLBS	1/10/14	273	2014	11	1			
441	A6		MLBS	1/10/14	273	2014	11	1			
442	A6		MLBS	1/10/14	273	2014	11	1			
443	A6		MLBS	1/10/14	273	2014	11	1			
444	A6		MLBS	1/10/14	273	2014	11	1			
445	M2		MLBS	1/10/14	273	2014	14	1			
446	M2		MLBS	1/10/14	273	2014	14	1			
447	M2		MLBS	1/10/14	273	2014	14	1			
448	M2		MLBS	1/10/14	273	2014	14	1			
449	M2		MLBS	1/10/14	273	2014	14	1			
450	M3		MLBS	1/10/14	273	2014	15	1			
451	M3		MLBS	1/10/14	273	2014	15	1			
452	M3		MLBS	1/10/14	273	2014	15	1			
453	M3		MLBS	1/10/14	273	2014	15	1			
454	M3		MLBS	1/10/14	273	2014	15	1			
455	M4		MLBS	1/10/14	273	2014	15	1			
456	M4		MLBS	1/10/14	273	2014	15	1			
457	M4		MLBS	1/10/14	273	2014	15	1			
458	M4		MLBS	1/10/14	273	2014	15	1			
459	M4		MLBS	1/10/14	273	2014	15	1			
460	M5		MLBS	1/10/14	273	2014	15	1			
461	M5		MLBS	1/10/14	273	2014	15	1			
462	M5		MLBS	1/10/14	273	2014	15	1			
463	M5		MLBS	1/10/14	273	2014	15	1			
464	M5		MLBS	1/10/14	273	2014	15	1			
465	M6		MLBS	1/10/14	273	2014	16	1			
466	M6		MLBS	1/10/14	273	2014	16	1			
467	M6		MLBS	1/10/14	273	2014	16	1			
468	M6		MLBS	1/10/14	273	2014	16	1			
469	M6		MLBS	1/10/14	273	2014	16	1			
470	C1		MLBS	1/10/14	273	2014	17	1			
471	C12		MLBS	1/10/14	273	2014	17	1			
472	C3		MLBS	1/10/14	273	2014	17	1			
473	C4		MLBS	1/10/14	273	2014	17	1			
474	C5		MLBS	1/10/14	273	2014	17	1			
475	C6		MLBS	1/10/14	273	2014	17	1			
476	C7		MLBS	1/10/14	273	2014	17	1			
477	C8		MLBS	1/10/14	273	2014	17	1			
478	C9		MLBS	1/10/14	273	2014	17	1			
479	C10		MLBS	1/10/14	273	2014	17	1			
480	C11		MLBS	1/10/14	273	2014	17	1			
481	M7		MLBS	1/10/14	273	2014	18	1			
482	M7		MLBS	1/10/14	273	2014	18	1			
483	M7		MLBS	1/10/14	273	2014	18	1			
484	M7		MLBS	1/10/14	273	2014	18	1			
485	M7		MLBS	1/10/14	273	2014	18	1			
486	M8		MLBS	1/10/14	273	2014	18	1			
487	M8		MLBS	1/10/14	273	2014	18	1			
488	M8		MLBS	1/10/14	273	2014	18	1			
489	M8		MLBS	1/10/14	273	2014	18	1			
490	M8		MLBS	1/10/14	273	2014	18	1			
491	B3		MLBS	2/10/14	274	2014	12	2			
492	C2		MLBS	1/10/14	273	2014	17	1			
493	B1		MLBS	2/10/14	274	2014	12	2			
494	B2		MLBS	2/10/14	274	2014	12	2			
495	A1		MLBS	1/10/14	273	2014	11	1			
496	A2		MLBS	1/10/14	273	2014	11	1			
497.1	D1		MLBS	2/10/14	274	2014	15	2			
497.2	D1		MLBS	2/10/14	274	2014	15	2			
498	D3		MLBS	2/10/14	274	2014	15	2			
499	D8		MLBS	2/10/14	274	2014	15	2			
500	D4		MLBS	2/10/14	274	2014	15	2			
501	D5		MLBS	2/10/14	274	2014	15	2			
502.1	D2		MLBS	2/10/14	274	2014	15	2			
502.2	D2		MLBS	2/10/14	274	2014	15	2			
503	D6		MLBS	2/10/14	274	2014	15	2			
504	D7		MLBS	2/10/14	274	2014	15	2			
505	D9		MLBS	2/10/14	274	2014	15	2			
506	D10		MLBS	2/10/14	274	2014	15	2			
507	D11		MLBS	2/10/14	274	2014	15	2			
508	D12		MLBS	2/10/14	274	2014	15	2			
509	D14		MLBS	2/10/14	274	2014	15	2			
510	D14		MLBS	2/10/14	274	2014	15	2			
511	D14		MLBS	2/10/14	274	2014	15	2			
512	D14		MLBS	2/10/14	274	2014	15	2			
513	D14		MLBS	2/10/14	274	2014	15	2			
514	D17		MLBS	2/10/14	274	2014	15	2			
