Soil	Collection_date		Day	Time	gps_n	gps+w	Altitude	5 day rainfall															
330	2014-06-03	2014-01-01	153	23:30:00	37.37438333	-80.52048333		14.224															
331	2014-06-03	2014-01-01	153	23:30:00	37.37438333	-80.52048333		14.224															
332	2014-06-03	2014-01-01	153	23:30:00	37.37438333	-80.52048333		14.224															
333	2014-06-03	2014-01-01	153	23:30:00	37.37438333	-80.52048333		14.224															
334	2014-06-03	2014-01-01	153	23:30:00	37.37435	-80.52048333		14.224															
335	2014-06-03	2014-01-01	153	23:30:00	37.37435	-80.52048333		14.224															
336	2014-06-03	2014-01-01	153	23:30:00	37.37435	-80.52048333		14.224															
337	2014-06-03	2014-01-01	153	23:30:00	37.37435	-80.52048333		14.224															
338	2014-06-03	2014-01-01	153	23:30:00	37.37435	-80.52048333		14.224															
339	2014-06-03	2014-01-01	153		37.37738333	-80.5221		14.224															
340	2014-06-03	2014-01-01	153		37.37738333	-80.5221		14.224															
341	2014-06-03	2014-01-01	153		37.37738333	-80.5221		14.224															
342	2014-06-03	2014-01-01	153		37.37738333	-80.5221		14.224															
343	2014-06-03	2014-01-01	153		37.37738333	-80.5221		14.224															
344	2014-06-03	2014-01-01	153		37.37738333	-80.52198333		14.224															
345	2014-06-03	2014-01-01	153		37.37738333	-80.52198333		14.224															
346	2014-06-03	2014-01-01	153		37.37738333	-80.52198333		14.224															
347	2014-06-03	2014-01-01	153		37.37738333	-80.52198333		14.224															
348	2014-06-03	2014-01-01	153		37.37738333	-80.52198333		14.224															
349	2014-06-04	2014-01-01	154	10:30:00	37.3774	-80.5219		1.016															
350	2014-06-04	2014-01-01	154	10:30:00	37.3774	-80.5219		1.016															
351	2014-06-04	2014-01-01	154	10:30:00	37.3774	-80.5219		1.016															
352	2014-06-04	2014-01-01	154	10:30:00	37.3774	-80.5219		1.016															
353	2014-06-04	2014-01-01	154	10:30:00	37.3774	-80.5219		1.016															
354	2014-06-04	2014-01-01	154	10:30:00	37.37785	-80.52196667		1.016															
355	2014-06-04	2014-01-01	154	10:30:00	37.37785	-80.52196667		1.016															
356	2014-06-04	2014-01-01	154	10:30:00	37.37785	-80.52196667		1.016															
357	2014-06-04	2014-01-01	154	10:30:00	37.37758333	-80.52191667		1.016															
358	2014-06-04	2014-01-01	154	10:30:00	37.37758333	-80.52191667		1.016															
359	2014-06-04	2014-01-01	154	10:30:00	37.37758333	-80.52191667		1.016															
360	2014-06-05	2014-01-01	155	11:00:00	37.37446667	-80.52095		8.128															
361	2014-06-05	2014-01-01	155	11:00:00	37.37446667	-80.52095		8.128															
362	2014-06-05	2014-01-01	155	11:00:00	37.37446667	-80.52095		8.128															
363	2014-06-05	2014-01-01	155	11:00:00	37.37446667	-80.52095		8.128															
364	2014-06-05	2014-01-01	155	11:00:00	37.37446667	-80.52095		8.128															
365	2014-06-05	2014-01-01	155	11:00:00	37.37388333	-80.52068333		8.128															
366	2014-06-05	2014-01-01	155	11:00:00	37.37388333	-80.52068333		8.128															
367	2014-06-05	2014-01-01	155	11:00:00	37.37388333	-80.52068333		8.128															
368	2014-06-05	2014-01-01	155	11:00:00	37.37388333	-80.52068333		8.128															
369	2014-06-05	2014-01-01	155	11:00:00	37.37388333	-80.52068333		8.128															
370	2014-06-09	2014-01-01	159	9:00:00	37.37471667	-80.52048333		17.272															
371	2014-06-09	2014-01-01	159	9:00:00	37.37441667	-80.52048333		17.272															
372	2014-06-09	2014-01-01	159	9:00:00	37.37381667	-80.52048333		17.272															
373	2014-06-09	2014-01-01	159	9:00:00	37.37381667	-80.52048333		17.272															
374	2014-06-09	2014-01-01	159	9:00:00	37.37381667	-80.52048333		17.272															
